[[393.   0.   0.   0.   0.   1.   2.   0.   3.   1.]
 [  0. 392.   2.   4.   0.   0.   1.   1.   0.   0.]
 [  0.   0. 378.   1.   3.   1.   8.   5.   3.   1.]
 [  0.   0.   6. 382.   1.   1.   0.   5.   2.   3.]
 [  0.   0.   1.   0. 394.   0.   1.   0.   0.   4.]
 [  3.   3.   1.   2.   1. 384.   1.   1.   2.   2.]
 [  1.   3.   0.   0.   1.   1. 394.   0.   0.   0.]
 [  1.   2.   3.   0.   4.   1.   0. 385.   1.   3.]
 [  0.   1.   0.   4.   0.   2.   1.   0. 392.   0.]
 [  0.   3.   0.   4.   6.   4.   1.   3.   5. 374.]]
 
[[97.  0.  0.  0.  0.  0.  2.  0.  0.  1.]
 [ 0. 99.  0.  0.  0.  0.  0.  0.  1.  0.]
 [ 0.  0. 95.  0.  0.  0.  0.  3.  0.  2.]
 [ 0.  0.  2. 86.  0.  5.  1.  2.  3.  1.]
 [ 0.  1.  0.  0. 94.  0.  1.  0.  0.  4.]
 [ 1.  0.  0.  2.  1. 90.  1.  1.  4.  0.]
 [ 1.  0.  0.  0.  0.  1. 97.  0.  1.  0.]
 [ 0.  1.  2.  0.  2.  0.  0. 95.  0.  0.]
 [ 0.  0.  1.  1.  2.  1.  0.  0. 94.  1.]
 [ 0.  0.  0.  2.  4.  0.  0.  1.  1. 92.]]
